Index,STATION,NAME,Month,Date,Year,Season,TMAX,TMIN
154,USW00094746,"WORCESTER, MA US",6,4,1950,Summer,65,47
155,USW00094746,"WORCESTER, MA US",6,5,1950,Summer,74,44
156,USW00094746,"WORCESTER, MA US",6,6,1950,Summer,83,50
157,USW00094746,"WORCESTER, MA US",6,7,1950,Summer,86,59
158,USW00094746,"WORCESTER, MA US",6,8,1950,Summer,88,64
159,USW00094746,"WORCESTER, MA US",6,9,1950,Summer,90,64
160,USW00094746,"WORCESTER, MA US",6,10,1950,Summer,85,60
161,USW00094746,"WORCESTER, MA US",6,11,1950,Summer,69,50
162,USW00094746,"WORCESTER, MA US",6,12,1950,Summer,71,48
163,USW00094746,"WORCESTER, MA US",6,13,1950,Summer,77,50
164,USW00094746,"WORCESTER, MA US",6,14,1950,Summer,73,51
165,USW00094746,"WORCESTER, MA US",6,15,1950,Summer,78,55
166,USW00094746,"WORCESTER, MA US",6,16,1950,Summer,80,56
167,USW00094746,"WORCESTER, MA US",6,17,1950,Summer,68,46
168,USW00094746,"WORCESTER, MA US",6,18,1950,Summer,66,40
169,USW00094746,"WORCESTER, MA US",6,19,1950,Summer,59,49
170,USW00094746,"WORCESTER, MA US",6,20,1950,Summer,76,52
171,USW00094746,"WORCESTER, MA US",6,21,1950,Summer,75,54
172,USW00094746,"WORCESTER, MA US",6,22,1950,Summer,72,49
173,USW00094746,"WORCESTER, MA US",6,23,1950,Summer,86,56
174,USW00094746,"WORCESTER, MA US",6,24,1950,Summer,90,62
175,USW00094746,"WORCESTER, MA US",6,25,1950,Summer,87,65
176,USW00094746,"WORCESTER, MA US",6,26,1950,Summer,87,63
177,USW00094746,"WORCESTER, MA US",6,27,1950,Summer,75,58
178,USW00094746,"WORCESTER, MA US",6,28,1950,Summer,72,54
179,USW00094746,"WORCESTER, MA US",6,29,1950,Summer,82,56
180,USW00094746,"WORCESTER, MA US",6,30,1950,Summer,82,58
181,USW00094746,"WORCESTER, MA US",7,1,1950,Autumn,80,59
182,USW00094746,"WORCESTER, MA US",7,2,1950,Autumn,83,57
183,USW00094746,"WORCESTER, MA US",7,3,1950,Autumn,82,61
184,USW00094746,"WORCESTER, MA US",7,4,1950,Autumn,77,63
185,USW00094746,"WORCESTER, MA US",7,5,1950,Autumn,83,60
186,USW00094746,"WORCESTER, MA US",7,6,1950,Autumn,76,59
187,USW00094746,"WORCESTER, MA US",7,7,1950,Autumn,78,54
188,USW00094746,"WORCESTER, MA US",7,8,1950,Autumn,86,62
189,USW00094746,"WORCESTER, MA US",7,9,1950,Autumn,82,65
190,USW00094746,"WORCESTER, MA US",7,10,1950,Autumn,76,60
191,USW00094746,"WORCESTER, MA US",7,11,1950,Autumn,77,59
192,USW00094746,"WORCESTER, MA US",7,12,1950,Autumn,84,64
193,USW00094746,"WORCESTER, MA US",7,13,1950,Autumn,87,66
194,USW00094746,"WORCESTER, MA US",7,14,1950,Autumn,74,55
195,USW00094746,"WORCESTER, MA US",7,15,1950,Autumn,76,54
196,USW00094746,"WORCESTER, MA US",7,16,1950,Autumn,67,56
197,USW00094746,"WORCESTER, MA US",7,17,1950,Autumn,85,62
198,USW00094746,"WORCESTER, MA US",7,18,1950,Autumn,87,62
199,USW00094746,"WORCESTER, MA US",7,19,1950,Autumn,80,58
200,USW00094746,"WORCESTER, MA US",7,20,1950,Autumn,66,55
201,USW00094746,"WORCESTER, MA US",7,21,1950,Autumn,74,54
202,USW00094746,"WORCESTER, MA US",7,22,1950,Autumn,77,58
203,USW00094746,"WORCESTER, MA US",7,23,1950,Autumn,79,54
204,USW00094746,"WORCESTER, MA US",7,24,1950,Autumn,77,55
205,USW00094746,"WORCESTER, MA US",7,25,1950,Autumn,80,62
206,USW00094746,"WORCESTER, MA US",7,26,1950,Autumn,75,59
207,USW00094746,"WORCESTER, MA US",7,27,1950,Autumn,80,57
208,USW00094746,"WORCESTER, MA US",7,28,1950,Autumn,84,59
209,USW00094746,"WORCESTER, MA US",7,29,1950,Autumn,84,58
210,USW00094746,"WORCESTER, MA US",7,30,1950,Autumn,87,61
211,USW00094746,"WORCESTER, MA US",7,31,1950,Autumn,88,64
212,USW00094746,"WORCESTER, MA US",8,1,1950,Autumn,72,55
213,USW00094746,"WORCESTER, MA US",8,2,1950,Autumn,68,54
214,USW00094746,"WORCESTER, MA US",8,3,1950,Autumn,66,58
215,USW00094746,"WORCESTER, MA US",8,4,1950,Autumn,76,57
216,USW00094746,"WORCESTER, MA US",8,5,1950,Autumn,74,54
217,USW00094746,"WORCESTER, MA US",8,6,1950,Autumn,67,54
218,USW00094746,"WORCESTER, MA US",8,7,1950,Autumn,69,52
219,USW00094746,"WORCESTER, MA US",8,8,1950,Autumn,77,51
220,USW00094746,"WORCESTER, MA US",8,9,1950,Autumn,82,61
221,USW00094746,"WORCESTER, MA US",8,10,1950,Autumn,80,66
222,USW00094746,"WORCESTER, MA US",8,11,1950,Autumn,80,58
