"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-24","84","46","84"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-25","84","55","83"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-26","83","53","79"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-27","89","48","88"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-28","88","50","82"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-29","84","50","75"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-30","73","50","67"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-05-31","72","37","58"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-01","68","51","68"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-02","68","38","59"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-03","76","36","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-04","74","56","63"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-05","67","53",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-06","79","43",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-07","67","43","53"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-08","66","30","66"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-09","71","31","71"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-10","71","36","70"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-11","78","38","77"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-12","80","57","77"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-13","77","48","75"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-14","78","46","73"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-15","73","44","58"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-16","71","34","69"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-17","76","43","76"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-18","76","50","51"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-19","68","33","66"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-20","69","37","63"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-21","75","48","75"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-22","83","44","83"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-23","84","53","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-24","80","67","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-25","83","54","82"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-26","83","48","51"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-27","67","50","51"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-28","61","51","56"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-29","62","47","62"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-06-30","74","37","74"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-01","74","53","62"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-02","78","43","78"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-03","81","55","80"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-04","82","57","82"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-05","82","49","77"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-07-06","76","49","75"
